lat,lon,ndvi
32.5,-124.5,0.499
32.5,-124.39393939393939,0.759
32.5,-124.28787878787878,0.78
32.5,-124.18181818181819,0.174
32.5,-124.07575757575758,0.857
32.5,-123.96969696969697,0.701
32.5,-123.86363636363636,0.846
32.5,-123.75757575757575,0.232
32.5,-123.65151515151516,0.181
32.5,-123.54545454545455,0.189
32.5,-123.43939393939394,0.747
32.5,-123.33333333333333,0.413
32.5,-123.22727272727273,0.521
32.5,-123.12121212121212,0.577
32.5,-123.01515151515152,0.637
32.5,-122.9090909090909,0.331
32.5,-122.8030303030303,0.301
32.5,-122.6969696969697,0.399
32.5,-122.5909090909091,0.17
32.5,-122.48484848484848,0.118
32.5,-122.37878787878788,0.572
32.5,-122.27272727272727,0.102
32.5,-122.16666666666667,0.891
32.5,-122.06060606060606,0.771
32.5,-121.95454545454545,0.332
32.5,-121.84848484848484,0.235
32.5,-121.74242424242425,0.275
32.5,-121.63636363636364,0.869
32.5,-121.53030303030303,0.436
32.5,-121.42424242424242,0.572
32.5,-121.31818181818181,0.22
32.5,-121.21212121212122,0.68
32.5,-121.10606060606061,0.804
32.5,-121.0,0.42
32.5,-120.89393939393939,0.422
32.5,-120.78787878787878,0.464
32.5,-120.68181818181819,0.531
32.5,-120.57575757575758,0.477
32.5,-120.46969696969697,0.143
32.5,-120.36363636363636,0.413
32.5,-120.25757575757575,0.457
32.5,-120.15151515151516,0.352
32.5,-120.04545454545455,0.895
32.5,-119.93939393939394,0.417
32.5,-119.83333333333333,0.678
32.5,-119.72727272727273,0.334
32.5,-119.62121212121212,0.867
32.5,-119.51515151515152,0.449
32.5,-119.4090909090909,0.273
32.5,-119.3030303030303,0.209
32.5,-119.1969696969697,0.456
32.5,-119.0909090909091,0.42
32.5,-118.98484848484848,0.551
32.5,-118.87878787878788,0.669
32.5,-118.77272727272727,0.8
32.5,-118.66666666666667,0.113
32.5,-118.56060606060606,0.649
32.5,-118.45454545454545,0.323
32.5,-118.34848484848484,0.806
32.5,-118.24242424242425,0.345
32.5,-118.13636363636364,0.746
32.5,-118.03030303030303,0.327
32.5,-117.92424242424242,0.802
32.5,-117.81818181818181,0.464
32.5,-117.71212121212122,0.441
32.5,-117.60606060606061,0.759
32.5,-117.5,0.27
32.5,-117.39393939393939,0.589
32.5,-117.28787878787878,0.867
32.5,-117.18181818181819,0.839
32.5,-117.07575757575758,0.805
32.5,-116.96969696969697,0.198
32.5,-116.86363636363636,0.276
32.5,-116.75757575757575,0.829
32.5,-116.65151515151516,0.868
32.5,-116.54545454545455,0.105
32.5,-116.43939393939394,0.312
32.5,-116.33333333333333,0.54
32.5,-116.22727272727272,0.397
32.5,-116.12121212121212,0.273
32.5,-116.01515151515152,0.394
32.5,-115.9090909090909,0.412
32.5,-115.8030303030303,0.384
