lat,lon,date,value
32.5,-124.5,2023-01-01,0.01
32.5,-124.5,2023-01-08,9.14
32.5,-124.5,2023-01-15,6.85
32.5,-124.5,2023-01-22,4.11
32.5,-124.5,2023-01-29,7.06
32.5,-124.5,2023-02-05,1.31
32.5,-124.5,2023-02-12,9.48
32.5,-124.5,2023-02-19,1.2
32.5,-124.5,2023-02-26,7.24
32.5,-124.5,2023-03-05,5.6
32.5,-124.5,2023-03-12,0.43
32.5,-124.5,2023-03-19,6.08
32.5,-124.5,2023-03-26,8.84
32.5,-124.5,2023-04-02,3.63
32.5,-124.5,2023-04-09,3.68
32.5,-124.5,2023-04-16,8.57
32.5,-124.5,2023-04-23,2.75
32.5,-124.5,2023-04-30,7.69
32.5,-124.5,2023-05-07,6.29
32.5,-124.5,2023-05-14,2.92
32.5,-124.5,2023-05-21,4.23
32.5,-124.5,2023-05-28,0.55
32.5,-124.5,2023-06-04,6.41
32.5,-124.5,2023-06-11,6.25
32.5,-124.5,2023-06-18,1.8
32.5,-124.5,2023-06-25,3.51
32.5,-124.5,2023-07-02,9.87
32.5,-124.5,2023-07-09,5.25
32.5,-124.5,2023-07-16,1.64
32.5,-124.5,2023-07-23,4.35
32.5,-124.5,2023-07-30,9.28
32.5,-124.5,2023-08-06,3.43
32.5,-124.5,2023-08-13,0.67
32.5,-124.5,2023-08-20,6.85
32.5,-124.5,2023-08-27,4.41
32.5,-124.5,2023-09-03,8.53
32.5,-124.5,2023-09-10,3.77
32.5,-124.5,2023-09-17,3.86
32.5,-124.5,2023-09-24,6.24
32.5,-124.5,2023-10-01,9.44
32.5,-124.5,2023-10-08,7.81
32.5,-124.5,2023-10-15,5.36
32.5,-124.5,2023-10-22,5.19
32.5,-124.5,2023-10-29,8.84
32.5,-124.5,2023-11-05,0.93
32.5,-124.5,2023-11-12,2.36
32.5,-124.5,2023-11-19,9.45
32.5,-124.5,2023-11-26,3.7
32.5,-124.5,2023-12-03,7.33
32.5,-124.5,2023-12-10,7.81
32.5,-124.5,2023-12-17,9.17
32.5,-124.5,2023-12-24,2.12
32.5,-124.5,2023-12-31,8.74
32.5,-123.96969696969697,2023-01-01,0.15
32.5,-123.96969696969697,2023-01-08,3.13
32.5,-123.96969696969697,2023-01-15,0.19
32.5,-123.96969696969697,2023-01-22,5.98
32.5,-123.96969696969697,2023-01-29,6.95
32.5,-123.96969696969697,2023-02-05,8.75
32.5,-123.96969696969697,2023-02-12,4.88
32.5,-123.96969696969697,2023-02-19,5.18
32.5,-123.96969696969697,2023-02-26,1.44
32.5,-123.96969696969697,2023-03-05,1.63
32.5,-123.96969696969697,2023-03-12,4.76
32.5,-123.96969696969697,2023-03-19,9.53
32.5,-123.96969696969697,2023-03-26,8.06
32.5,-123.96969696969697,2023-04-02,6.66
32.5,-123.96969696969697,2023-04-09,3.19
32.5,-123.96969696969697,2023-04-16,4.25
32.5,-123.96969696969697,2023-04-23,4.13
32.5,-123.96969696969697,2023-04-30,7.62
32.5,-123.96969696969697,2023-05-07,1.65
32.5,-123.96969696969697,2023-05-14,6.9
32.5,-123.96969696969697,2023-05-21,3.9
32.5,-123.96969696969697,2023-05-28,3.88
32.5,-123.96969696969697,2023-06-04,3.84
32.5,-123.96969696969697,2023-06-11,9.71
32.5,-123.96969696969697,2023-06-18,5.33
32.5,-123.96969696969697,2023-06-25,7.2
32.5,-123.96969696969697,2023-07-02,3.27
32.5,-123.96969696969697,2023-07-09,8.25
32.5,-123.96969696969697,2023-07-16,0.98
32.5,-123.96969696969697,2023-07-23,0.9
32.5,-123.96969696969697,2023-07-30,9.78
32.5,-123.96969696969697,2023-08-06,7.31
